Job Title,Company Name,Job Location,Job Description,Job Link
Senior Design Engineer,Jacobs Engineering India Pvt Ltd4.1(270 Reviews),Kolkata,"
 Description      Motivated and experienced Road Design Engineers who can utilise their strong technical and project management skills to deliver highways-related infrastructure projects.      The successful candidate will be responsible for assisting their project manager Team lead on design tasks to support infrastructure highways engineering activities. Includes planning, design phases of development projects of urban, rural roadways, expressway and freeways schemes.      Technical competence in detailed highways geometry design using MX RoadCivil 3DOpen Road Designer and able to independently deliver work and integrate with larger project team.      Preparation of concept and detailed design of Roundabouts, priority junctions, signalized junctions, interchanges, generating earthwork quantities.      Competent to check the work of more junior team members.      Analyses problems assigned under guidance and Offer new ideas to improve solutions and processes.      Communicating with counterpart in lead officeClient.      Coordinate with multi-disciplinary teams on project delivery.      Willingness to share information and knowledge with team members.      Shows flexibility in work tasks and locations        About you       7-12 years experience in highway engineering design (preferable Global Design Center experience)   Understanding of engineering standards (DMRBAASHTOAustralianMiddle East), codes of practice, local authorities guidelines and offer new ideas to improve solutions and processes.    Able to lead projects independently and integrate with larger project team.    Adopt QAQC checking procedures as per company policy to ensure sound and coordinated design both internally and across other disciplines.    Proficiency in Civil 3D or Open Road DesignerInroads    AutoCAD or MicroStation    Working knowledge of CDE platform (Common Data Environment) i.e. ProjectWise or BIM360  
Jacobs, with annual revenues of $12 billion, is one of the world's largest and most diverse providers of technical, professional, and construction services. Building strong, long-term relationships with our clients is the key to our success as a company. We offer full-spectrum support to industrial, commercial, and government clients across multiple markets. Industries we serve include: Aerospace and Defense Automotive and Industrial Buildings Mining and Minerals Nuclear Oil and Gas (upstream) Petrochemical and Chemicals Pharmaceuticals and Biotechnology Power and Utilities Pulp, Paper, and Consumer Products Refining (downstream) Telecommunications Transportation Water and Wastewater",https://www.naukri.com/job-listings-senior-design-engineer-jacobs-engineering-india-pvt-ltd-kolkata-7-to-12-years-120620500192?src=jobsearchDesk&sid=15919743848057725&xp=2&px=1
Junior Design Engineer - Highways,Jacobs Engineering India Pvt Ltd4.1(270 Reviews),Mumbai,"
 Description     Highway engineer to work on multi-disciplinary engineering projects. The work will include undertaking design of highway infrastructure projects. This is a growth position for the right candidate looking to make the next step in their career.    He she will be responsible for quality design delivery. Good understanding of team work and highways business area. Exhibits clear progression towards a technical career path.    Geometric Design of Highways- Design of horizontal alignment with spirals, vertical profile, roundabout, intersection and interchange design, calculation of earthwork, preparation of detailed cross-sections, preparation of super elevation data, Junctions and Roundabout grading, parking facility, checking manoeuvring of vehicles in parking area using Auto-Turn, Signing Marking and estimation of quantities.    Preparation of plans, profile, Assemblies and Corridors.    Taking responsibilities for their own work and producing higher quality technical output.    Able to assign work to Graduates, Technicians and report on own performance on a regular basis    Ability to listen, understand and follow instructions.    Shows flexibility in work tasks and locations.     About you     BE Degree in Civil Engineering Post-Graduation in TransportationHighway Engineering    1-4 years experience in highway engineering design (preferable Global Design Center experience)    Good knowledge of the requirements for highways design and an understanding of how these influence the design using highways design software.    Proficiency in Civil 3D or MX or Open Road DesignerInroads    AutoCAD or MicroStation 
Jacobs, with annual revenues of $12 billion, is one of the world's largest and most diverse providers of technical, professional, and construction services. Building strong, long-term relationships with our clients is the key to our success as a company. We offer full-spectrum support to industrial, commercial, and government clients across multiple markets. Industries we serve include: Aerospace and Defense Automotive and Industrial Buildings Mining and Minerals Nuclear Oil and Gas (upstream) Petrochemical and Chemicals Pharmaceuticals and Biotechnology Power and Utilities Pulp, Paper, and Consumer Products Refining (downstream) Telecommunications Transportation Water and Wastewater",https://www.naukri.com/job-listings-junior-design-engineer-highways-jacobs-engineering-india-pvt-ltd-mumbai-1-to-4-years-120620500191?src=jobsearchDesk&sid=15919743848057725&xp=3&px=1
Junior Design Engineer - Highways,Jacobs Engineering India Pvt Ltd4.1(270 Reviews),Gurgaon,"
 Description     Highway engineer to work on multi-disciplinary engineering projects. The work will include undertaking design of highway infrastructure projects. This is a growth position for the right candidate looking to make the next step in their career.    He she will be responsible for quality design delivery. Good understanding of team work and highways business area. Exhibits clear progression towards a technical career path.    Geometric Design of Highways- Design of horizontal alignment with spirals, vertical profile, roundabout, intersection and interchange design, calculation of earthwork, preparation of detailed cross-sections, preparation of super elevation data, Junctions and Roundabout grading, parking facility, checking manoeuvring of vehicles in parking area using Auto-Turn, Signing Marking and estimation of quantities.    Preparation of plans, profile, Assemblies and Corridors.    Taking responsibilities for their own work and producing higher quality technical output.    Able to assign work to Graduates, Technicians and report on own performance on a regular basis    Ability to listen, understand and follow instructions.    Shows flexibility in work tasks and locations.     About you     BE Degree in Civil Engineering Post-Graduation in TransportationHighway Engineering    1-4 years experience in highway engineering design (preferable Global Design Center experience)    Good knowledge of the requirements for highways design and an understanding of how these influence the design using highways design software.    Proficiency in Civil 3D or MX or Open Road DesignerInroads    AutoCAD or MicroStation  
Jacobs, with annual revenues of $12 billion, is one of the world's largest and most diverse providers of technical, professional, and construction services. Building strong, long-term relationships with our clients is the key to our success as a company. We offer full-spectrum support to industrial, commercial, and government clients across multiple markets. Industries we serve include: Aerospace and Defense Automotive and Industrial Buildings Mining and Minerals Nuclear Oil and Gas (upstream) Petrochemical and Chemicals Pharmaceuticals and Biotechnology Power and Utilities Pulp, Paper, and Consumer Products Refining (downstream) Telecommunications Transportation Water and Wastewater",https://www.naukri.com/job-listings-junior-design-engineer-highways-jacobs-engineering-india-pvt-ltd-gurgaon-1-to-4-years-120620500190?src=jobsearchDesk&sid=15919743848057725&xp=4&px=1
Junior Design Engineer - Highways,Jacobs Engineering India Pvt Ltd4.1(270 Reviews),Kolkata,"
 Description     Highway engineer to work on multi-disciplinary engineering projects. The work will include undertaking design of highway infrastructure projects. This is a growth position for the right candidate looking to make the next step in their career.    He she will be responsible for quality design delivery. Good understanding of team work and highways business area. Exhibits clear progression towards a technical career path.    Geometric Design of Highways- Design of horizontal alignment with spirals, vertical profile, roundabout, intersection and interchange design, calculation of earthwork, preparation of detailed cross-sections, preparation of super elevation data, Junctions and Roundabout grading, parking facility, checking manoeuvring of vehicles in parking area using Auto-Turn, Signing Marking and estimation of quantities.    Preparation of plans, profile, Assemblies and Corridors.    Taking responsibilities for their own work and producing higher quality technical output.    Able to assign work to Graduates, Technicians and report on own performance on a regular basis    Ability to listen, understand and follow instructions.    Shows flexibility in work tasks and locations.     About you     BE Degree in Civil Engineering Post-Graduation in TransportationHighway Engineering    1-4 years experience in highway engineering design (preferable Global Design Center experience)    Good knowledge of the requirements for highways design and an understanding of how these influence the design using highways design software.    Proficiency in Civil 3D or MX or Open Road DesignerInroads    AutoCAD or MicroStation  
Jacobs, with annual revenues of $12 billion, is one of the world's largest and most diverse providers of technical, professional, and construction services. Building strong, long-term relationships with our clients is the key to our success as a company. We offer full-spectrum support to industrial, commercial, and government clients across multiple markets. Industries we serve include: Aerospace and Defense Automotive and Industrial Buildings Mining and Minerals Nuclear Oil and Gas (upstream) Petrochemical and Chemicals Pharmaceuticals and Biotechnology Power and Utilities Pulp, Paper, and Consumer Products Refining (downstream) Telecommunications Transportation Water and Wastewater",https://www.naukri.com/job-listings-junior-design-engineer-highways-jacobs-engineering-india-pvt-ltd-kolkata-1-to-4-years-120620500189?src=jobsearchDesk&sid=15919743848057725&xp=5&px=1
Senior Design Engineer,Jacobs Engineering India Pvt Ltd4.1(270 Reviews),Kolkata,"
 Description      Motivated and experienced Road Design Engineers who can utilise their strong technical and project management skills to deliver highways-related infrastructure projects.      The successful candidate will be responsible for assisting their project manager Team lead on design tasks to support infrastructure highways engineering activities. Includes planning, design phases of development projects of urban, rural roadways, expressway and freeways schemes.      Technical competence in detailed highways geometry design using MX RoadCivil 3DOpen Road Designer and able to independently deliver work and integrate with larger project team.      Preparation of concept and detailed design of Roundabouts, priority junctions, signalized junctions, interchanges, generating earthwork quantities.      Competent to check the work of more junior team members.      Analyses problems assigned under guidance and Offer new ideas to improve solutions and processes.      Communicating with counterpart in lead officeClient.      Coordinate with multi-disciplinary teams on project delivery.      Willingness to share information and knowledge with team members.      Shows flexibility in work tasks and locations        About you       7-12 years experience in highway engineering design (preferable Global Design Center experience)   Understanding of engineering standards (DMRBAASHTOAustralianMiddle East), codes of practice, local authorities guidelines and offer new ideas to improve solutions and processes.    Able to lead projects independently and integrate with larger project team.    Adopt QAQC checking procedures as per company policy to ensure sound and coordinated design both internally and across other disciplines.    Proficiency in Civil 3D or Open Road DesignerInroads    AutoCAD or MicroStation    Working knowledge of CDE platform (Common Data Environment) i.e. ProjectWise or BIM360  
Jacobs, with annual revenues of $12 billion, is one of the world's largest and most diverse providers of technical, professional, and construction services. Building strong, long-term relationships with our clients is the key to our success as a company. We offer full-spectrum support to industrial, commercial, and government clients across multiple markets. Industries we serve include: Aerospace and Defense Automotive and Industrial Buildings Mining and Minerals Nuclear Oil and Gas (upstream) Petrochemical and Chemicals Pharmaceuticals and Biotechnology Power and Utilities Pulp, Paper, and Consumer Products Refining (downstream) Telecommunications Transportation Water and Wastewater",https://www.naukri.com/job-listings-senior-design-engineer-jacobs-engineering-india-pvt-ltd-kolkata-7-to-12-years-120620500192?src=jobsearchDesk&sid=15919743848057725&xp=2&px=1
Junior Design Engineer - Highways,Jacobs Engineering India Pvt Ltd4.1(270 Reviews),Mumbai,"
 Description     Highway engineer to work on multi-disciplinary engineering projects. The work will include undertaking design of highway infrastructure projects. This is a growth position for the right candidate looking to make the next step in their career.    He she will be responsible for quality design delivery. Good understanding of team work and highways business area. Exhibits clear progression towards a technical career path.    Geometric Design of Highways- Design of horizontal alignment with spirals, vertical profile, roundabout, intersection and interchange design, calculation of earthwork, preparation of detailed cross-sections, preparation of super elevation data, Junctions and Roundabout grading, parking facility, checking manoeuvring of vehicles in parking area using Auto-Turn, Signing Marking and estimation of quantities.    Preparation of plans, profile, Assemblies and Corridors.    Taking responsibilities for their own work and producing higher quality technical output.    Able to assign work to Graduates, Technicians and report on own performance on a regular basis    Ability to listen, understand and follow instructions.    Shows flexibility in work tasks and locations.     About you     BE Degree in Civil Engineering Post-Graduation in TransportationHighway Engineering    1-4 years experience in highway engineering design (preferable Global Design Center experience)    Good knowledge of the requirements for highways design and an understanding of how these influence the design using highways design software.    Proficiency in Civil 3D or MX or Open Road DesignerInroads    AutoCAD or MicroStation 
Jacobs, with annual revenues of $12 billion, is one of the world's largest and most diverse providers of technical, professional, and construction services. Building strong, long-term relationships with our clients is the key to our success as a company. We offer full-spectrum support to industrial, commercial, and government clients across multiple markets. Industries we serve include: Aerospace and Defense Automotive and Industrial Buildings Mining and Minerals Nuclear Oil and Gas (upstream) Petrochemical and Chemicals Pharmaceuticals and Biotechnology Power and Utilities Pulp, Paper, and Consumer Products Refining (downstream) Telecommunications Transportation Water and Wastewater",https://www.naukri.com/job-listings-junior-design-engineer-highways-jacobs-engineering-india-pvt-ltd-mumbai-1-to-4-years-120620500191?src=jobsearchDesk&sid=15919743848057725&xp=3&px=1
Junior Design Engineer - Highways,Jacobs Engineering India Pvt Ltd4.1(270 Reviews),Gurgaon,"
 Description     Highway engineer to work on multi-disciplinary engineering projects. The work will include undertaking design of highway infrastructure projects. This is a growth position for the right candidate looking to make the next step in their career.    He she will be responsible for quality design delivery. Good understanding of team work and highways business area. Exhibits clear progression towards a technical career path.    Geometric Design of Highways- Design of horizontal alignment with spirals, vertical profile, roundabout, intersection and interchange design, calculation of earthwork, preparation of detailed cross-sections, preparation of super elevation data, Junctions and Roundabout grading, parking facility, checking manoeuvring of vehicles in parking area using Auto-Turn, Signing Marking and estimation of quantities.    Preparation of plans, profile, Assemblies and Corridors.    Taking responsibilities for their own work and producing higher quality technical output.    Able to assign work to Graduates, Technicians and report on own performance on a regular basis    Ability to listen, understand and follow instructions.    Shows flexibility in work tasks and locations.     About you     BE Degree in Civil Engineering Post-Graduation in TransportationHighway Engineering    1-4 years experience in highway engineering design (preferable Global Design Center experience)    Good knowledge of the requirements for highways design and an understanding of how these influence the design using highways design software.    Proficiency in Civil 3D or MX or Open Road DesignerInroads    AutoCAD or MicroStation  
Jacobs, with annual revenues of $12 billion, is one of the world's largest and most diverse providers of technical, professional, and construction services. Building strong, long-term relationships with our clients is the key to our success as a company. We offer full-spectrum support to industrial, commercial, and government clients across multiple markets. Industries we serve include: Aerospace and Defense Automotive and Industrial Buildings Mining and Minerals Nuclear Oil and Gas (upstream) Petrochemical and Chemicals Pharmaceuticals and Biotechnology Power and Utilities Pulp, Paper, and Consumer Products Refining (downstream) Telecommunications Transportation Water and Wastewater",https://www.naukri.com/job-listings-junior-design-engineer-highways-jacobs-engineering-india-pvt-ltd-gurgaon-1-to-4-years-120620500190?src=jobsearchDesk&sid=15919743848057725&xp=4&px=1
Junior Design Engineer - Highways,Jacobs Engineering India Pvt Ltd4.1(270 Reviews),Kolkata,"
 Description     Highway engineer to work on multi-disciplinary engineering projects. The work will include undertaking design of highway infrastructure projects. This is a growth position for the right candidate looking to make the next step in their career.    He she will be responsible for quality design delivery. Good understanding of team work and highways business area. Exhibits clear progression towards a technical career path.    Geometric Design of Highways- Design of horizontal alignment with spirals, vertical profile, roundabout, intersection and interchange design, calculation of earthwork, preparation of detailed cross-sections, preparation of super elevation data, Junctions and Roundabout grading, parking facility, checking manoeuvring of vehicles in parking area using Auto-Turn, Signing Marking and estimation of quantities.    Preparation of plans, profile, Assemblies and Corridors.    Taking responsibilities for their own work and producing higher quality technical output.    Able to assign work to Graduates, Technicians and report on own performance on a regular basis    Ability to listen, understand and follow instructions.    Shows flexibility in work tasks and locations.     About you     BE Degree in Civil Engineering Post-Graduation in TransportationHighway Engineering    1-4 years experience in highway engineering design (preferable Global Design Center experience)    Good knowledge of the requirements for highways design and an understanding of how these influence the design using highways design software.    Proficiency in Civil 3D or MX or Open Road DesignerInroads    AutoCAD or MicroStation  
Jacobs, with annual revenues of $12 billion, is one of the world's largest and most diverse providers of technical, professional, and construction services. Building strong, long-term relationships with our clients is the key to our success as a company. We offer full-spectrum support to industrial, commercial, and government clients across multiple markets. Industries we serve include: Aerospace and Defense Automotive and Industrial Buildings Mining and Minerals Nuclear Oil and Gas (upstream) Petrochemical and Chemicals Pharmaceuticals and Biotechnology Power and Utilities Pulp, Paper, and Consumer Products Refining (downstream) Telecommunications Transportation Water and Wastewater",https://www.naukri.com/job-listings-junior-design-engineer-highways-jacobs-engineering-india-pvt-ltd-kolkata-1-to-4-years-120620500189?src=jobsearchDesk&sid=15919743848057725&xp=5&px=1
Design Engineer,Jacobs Engineering India Pvt Ltd4.1(270 Reviews),Kolkata,"
 Description      Highway engineer to work on multi-disciplinary engineering projects. The work will include undertaking design of highway infrastructure projects. This is a growth position for the right candidate looking to make the next step in their career.      He she will be responsible for quality design delivery. Good understanding of team work and highways business area. Exhibits clear progression towards a technical career path.      Geometric Design of Highways- Design of horizontal alignment with spirals, vertical profile, roundabout, intersection and interchange design, calculation of earthwork, preparation of detailed cross-sections, preparation of super-elevation data, Junctions and Roundabout grading, parking facility, checking maneuvering of vehicles in parking area using Auto-Turn, Signing Marking and estimation of quantities.      Preparation of plans, profile, Assemblies and Corridors.      Taking responsibilities for their own work and producing higher quality technical output.      Able to assign work to Graduates, Technicians and report on own performance on a regular basis      Communicating with counterpart in lead officeClient      Coordinate with multi-disciplinary teams on project delivery      Ability to listen, understand and follow instructions.      Shows flexibility in work tasks and locations.       About you      BE Degree in Civil Engineering Post-Graduation in TransportationHighway Engineering    3-5 years experience in highway engineering design (preferable Global Design Center experience) Good knowledge of the DMRBAASHTOAustralianME Design codes requirements for highways design and an understanding of how these influence the design using highways design software.    Proficiency in Civil 3D or MX or Open Road DesignerInroads    AutoCAD or MicroStation    ProjectWise  
Jacobs, with annual revenues of $12 billion, is one of the world's largest and most diverse providers of technical, professional, and construction services. Building strong, long-term relationships with our clients is the key to our success as a company. We offer full-spectrum support to industrial, commercial, and government clients across multiple markets. Industries we serve include: Aerospace and Defense Automotive and Industrial Buildings Mining and Minerals Nuclear Oil and Gas (upstream) Petrochemical and Chemicals Pharmaceuticals and Biotechnology Power and Utilities Pulp, Paper, and Consumer Products Refining (downstream) Telecommunications Transportation Water and Wastewater",https://www.naukri.com/job-listings-design-engineer-jacobs-engineering-india-pvt-ltd-kolkata-3-to-5-years-120620500188?src=jobsearchDesk&sid=15919743848057725&xp=6&px=1
Design Engineer,Jacobs Engineering India Pvt Ltd4.1(270 Reviews),Gurgaon,"
 Description    Highway engineer to work on multi-disciplinary engineering projects. The work will include undertaking design of highway infrastructure projects. This is a growth position for the right candidate looking to make the next step in their career.      He she will be responsible for quality design delivery. Good understanding of team work and highways business area. Exhibits clear progression towards a technical career path.      Geometric Design of Highways- Design of horizontal alignment with spirals, vertical profile, roundabout, intersection and interchange design, calculation of earthwork, preparation of detailed cross-sections, preparation of superelevation data, Junctions and Roundabout grading, parking facility, checking maneuvering of vehicles in parking area using Auto-Turn, Signing Marking and estimation of quantities.      Preparation of plans, profile, Assemblies and Corridors.      Taking responsibilities for their own work and producing higher quality technical output.      Able to assign work to Graduates, Technicians and report on own performance on a regular basis      Communicating with counterpart in lead officeClient      Coordinate with multi-disciplinary teams on project delivery      Ability to listen, understand and follow instructions.      Shows flexibility in work tasks and locations.       About you      BE Degree in Civil Engineering Post-Graduation in TransportationHighway Engineering    3-5 years experience in highway engineering design (preferable Global Design Center experience) Good knowledge of the DMRBAASHTOAustralianME Design codes requirements for highways design and an understanding of how these influence the design using highways design software.    Proficiency in Civil 3D or MX or Open Road DesignerInroads    AutoCAD or MicroStation    ProjectWise  
Jacobs, with annual revenues of $12 billion, is one of the world's largest and most diverse providers of technical, professional, and construction services. Building strong, long-term relationships with our clients is the key to our success as a company. We offer full-spectrum support to industrial, commercial, and government clients across multiple markets. Industries we serve include: Aerospace and Defense Automotive and Industrial Buildings Mining and Minerals Nuclear Oil and Gas (upstream) Petrochemical and Chemicals Pharmaceuticals and Biotechnology Power and Utilities Pulp, Paper, and Consumer Products Refining (downstream) Telecommunications Transportation Water and Wastewater",https://www.naukri.com/job-listings-design-engineer-jacobs-engineering-india-pvt-ltd-gurgaon-3-to-5-years-120620500187?src=jobsearchDesk&sid=15919743848057725&xp=7&px=1
